Time,SenderName,Sender,TalkerName,Talker,Content
2025-12-24 07:39:28,GODLIKE,huluwa587731,鸿学院短线交流群,24832362572@chatroom,"![图片](http://localhost:5030/image/6d4b69d9e9cc7edd62c5a271c0a300b5,msg\attach\1880bf501b52415609806d60fdc5a343\2025-12\Img\87503a6030476d772267bb2d00691973)"
2025-12-24 07:43:55,無敵小姊姊🥕,fkb_wql,鸿学院短线交流群,24832362572@chatroom,金银都新高了
2025-12-24 07:45:09,芦苇,wxid_v8napafgcead12,鸿学院短线交流群,24832362572@chatroom,"![图片](http://localhost:5030/image/e41f8fd787c35de283858b6080021515,msg\attach\1880bf501b52415609806d60fdc5a343\2025-12\Img\8649b353346684a0ad02945fa1b49f33)"
2025-12-24 07:45:23,芦苇,wxid_v8napafgcead12,鸿学院短线交流群,24832362572@chatroom,"> 芦苇(wxid_v8napafgcead12) 12-24 07:45:08
> ![图片](http://localhost:5030/image/e41f8fd787c35de283858b6080021515)
现货黄金破4500"
2025-12-24 08:03:45,曹兀,caopai1995,鸿学院短线交流群,24832362572@chatroom,[苦涩]黄金都不怎么动，白银铂金涨疯了
2025-12-24 08:03:53,曹兀,caopai1995,鸿学院短线交流群,24832362572@chatroom,我买的主要都是黄金[苦涩]
2025-12-24 08:05:57,Mask,wxid_eeq6xr1xojv522,鸿学院短线交流群,24832362572@chatroom,@曹兀 老宋讲俄罗斯央行开始囤白银那节课就开始买了
2025-12-24 08:06:27,曹兀,caopai1995,鸿学院短线交流群,24832362572@chatroom,老宋不是说白银不如黄金吗，毕竟不属于世界公认货币
2025-12-24 08:06:38,曹兀,caopai1995,鸿学院短线交流群,24832362572@chatroom,卢老师也说主要是买黄金
2025-12-24 08:06:46,曹兀,caopai1995,鸿学院短线交流群,24832362572@chatroom,所以我一直没买银
2025-12-24 08:07:11,Mask,wxid_eeq6xr1xojv522,鸿学院短线交流群,24832362572@chatroom,"> 彩虹恋爱导师曹兀(caopai1995) 12-24 08:06:27
> 老宋不是说白银不如黄金吗，毕竟不属于世界公认货币
但黄金之前已经涨飞了，白银要补涨。"
2025-12-24 08:07:31,龙飞,xiaoxiao091957,鸿学院短线交流群,24832362572@chatroom,涉黄买银赌铂
2025-12-24 08:07:34,Mask,wxid_eeq6xr1xojv522,鸿学院短线交流群,24832362572@chatroom,7块多的时候，白银价格太低了。
2025-12-24 08:08:00,微凉梅子酒,yangxiao312,鸿学院短线交流群,24832362572@chatroom,白银的上去了，黄金这几天也是在补涨的
2025-12-24 08:08:07,微凉梅子酒,yangxiao312,鸿学院短线交流群,24832362572@chatroom,螺旋上升
2025-12-24 08:08:21,Mask,wxid_eeq6xr1xojv522,鸿学院短线交流群,24832362572@chatroom,"> 微凉梅子酒(yangxiao312) 12-24 08:08:00
> 白银的上去了，黄金这几天也是在补涨的
涨幅肯定没有白银多的"
2025-12-24 08:08:33,Mask,wxid_eeq6xr1xojv522,鸿学院短线交流群,24832362572@chatroom,白银什么位置？黄金是什么位置？
2025-12-24 08:08:42,微凉梅子酒,yangxiao312,鸿学院短线交流群,24832362572@chatroom,银有庄，上的快也下的快
2025-12-24 08:08:45,微凉梅子酒,yangxiao312,鸿学院短线交流群,24832362572@chatroom,黄金稳
2025-12-24 08:08:50,微凉梅子酒,yangxiao312,鸿学院短线交流群,24832362572@chatroom,不同的策略
2025-12-24 08:09:06,陈蕊,wxid_e1ucnjs4f4z622,鸿学院短线交流群,24832362572@chatroom,开三个账户，一个放着不动，一个定投，一个操作，看下明年这个时候哪个账户赚得多呀
2025-12-24 08:09:07,微凉梅子酒,yangxiao312,鸿学院短线交流群,24832362572@chatroom,我敢几百万买黄金，但几十万买白银我都不敢
2025-12-24 08:10:51,陈蕊,wxid_e1ucnjs4f4z622,鸿学院短线交流群,24832362572@chatroom,"> 微凉梅子酒(yangxiao312) 12-24 08:09:07
> 我敢几百万买黄金，但几十万买白银我都不敢
对"
2025-12-24 08:11:05,,系统消息,鸿学院短线交流群,24832362572@chatroom,"""Mask"" 撤回了一条消息"
2025-12-24 08:11:06,陈蕊,wxid_e1ucnjs4f4z622,鸿学院短线交流群,24832362572@chatroom,黄金盘大，不容易操作，白银盘小
2025-12-24 08:11:11,Mask,wxid_eeq6xr1xojv522,鸿学院短线交流群,24832362572@chatroom,黄金之前也是有庄的，央行开始买起来，黄金不也涨成现在这样
2025-12-24 08:11:46,微凉梅子酒,yangxiao312,鸿学院短线交流群,24832362572@chatroom,庄能和各国央行比？
2025-12-24 08:12:14,微凉梅子酒,yangxiao312,鸿学院短线交流群,24832362572@chatroom,之前华尔街也尝试狙击黄金 失败了
2025-12-24 08:13:24,Mask,wxid_eeq6xr1xojv522,鸿学院短线交流群,24832362572@chatroom,白银我是吃了个翻倍。
2025-12-24 08:14:17,王迅,wxid_wkp11bmhfqpw22,鸿学院短线交流群,24832362572@chatroom,从35拿到70吗
2025-12-24 08:14:18,微凉梅子酒,yangxiao312,鸿学院短线交流群,24832362572@chatroom,"> 彩虹恋爱导师曹兀(caopai1995) 12-24 08:06:27
> 老宋不是说白银不如黄金吗，毕竟不属于世界公认货币
这话是没错，但是资本市场怎么会是某个人可以完美预测的呢，交易要有自己的思想，谁都不是神，不然宋老师早已是世界首富了[偷笑][偷笑][偷笑]"
2025-12-24 08:14:26,Mask,wxid_eeq6xr1xojv522,鸿学院短线交流群,24832362572@chatroom,"> 王迅(wxid_wkp11bmhfqpw22) 12-24 08:14:17
> 从35拿到70吗
嗯"
2025-12-24 08:14:35,王迅,wxid_wkp11bmhfqpw22,鸿学院短线交流群,24832362572@chatroom,都这么厉害
2025-12-24 08:14:53,Vivi,wxid_vbwpsc3qb03112,鸿学院短线交流群,24832362572@chatroom,"> 微凉梅子酒(yangxiao312) 12-24 08:14:18
> > [引用]
> 这话是没错，但是资本市场怎么会是某个人可以完美预测的呢，交易要有自己的思想，谁都不是神，不然宋老师早已是世界首富了[偷笑][偷笑][偷笑]
你怎么知道他不是[偷笑]"
2025-12-24 08:15:48,微凉梅子酒,yangxiao312,鸿学院短线交流群,24832362572@chatroom,哈哈哈，那课价可能要先涨一百倍[偷笑]
2025-12-24 08:16:27,Vivi,wxid_vbwpsc3qb03112,鸿学院短线交流群,24832362572@chatroom,老师低调[偷笑]
2025-12-24 08:16:46,Vivi,wxid_vbwpsc3qb03112,鸿学院短线交流群,24832362572@chatroom,老师好像在货币战争里面已经讲过白银
2025-12-24 08:17:23,無敵小姊姊🥕,fkb_wql,鸿学院短线交流群,24832362572@chatroom,宋老师说了白银涨幅会大于黄金
2025-12-24 08:17:33,Vivi,wxid_vbwpsc3qb03112,鸿学院短线交流群,24832362572@chatroom,看到书的时候开始买，不过当时知道便宜，渠道也不多，靠谱一点的只有熊猫币
2025-12-24 08:17:40,微凉梅子酒,yangxiao312,鸿学院短线交流群,24832362572@chatroom,交易有时候和分析是两回事。资本市场最终还是看资金
2025-12-24 08:17:59,Vivi,wxid_vbwpsc3qb03112,鸿学院短线交流群,24832362572@chatroom,以前买工行纸白银，才4，元，后来不给玩了
2025-12-24 08:21:19,微凉梅子酒,yangxiao312,鸿学院短线交流群,24832362572@chatroom,看看明年行情吧[偷笑]，争取能抓到新的增长点
2025-12-24 08:22:55,,系统消息,鸿学院短线交流群,24832362572@chatroom,"""易"" 撤回了一条消息"
2025-12-24 08:23:00,易,wxid_g4bzddmgf5bm21,鸿学院短线交流群,24832362572@chatroom,@Vivi 您这猫币买的早，真有眼光[强]
2025-12-24 08:23:17,Mask,wxid_eeq6xr1xojv522,鸿学院短线交流群,24832362572@chatroom,熊猫币得一箱箱买吧
2025-12-24 08:23:30,Mask,wxid_eeq6xr1xojv522,鸿学院短线交流群,24832362572@chatroom,白银不都论公斤买吗？
2025-12-24 08:23:33,Mask,wxid_eeq6xr1xojv522,鸿学院短线交流群,24832362572@chatroom,[捂脸]
2025-12-24 08:23:53,Mask,wxid_eeq6xr1xojv522,鸿学院短线交流群,24832362572@chatroom,还不如买两块板料
2025-12-24 08:24:43,曹兀,caopai1995,鸿学院短线交流群,24832362572@chatroom,熊猫币好出手
2025-12-24 08:24:45,微凉梅子酒,yangxiao312,鸿学院短线交流群,24832362572@chatroom,"> [引用]
一般这样买"
2025-12-24 08:24:51,曹兀,caopai1995,鸿学院短线交流群,24832362572@chatroom,银板料没那么好出吧
2025-12-24 08:24:59,曹兀,caopai1995,鸿学院短线交流群,24832362572@chatroom,熊猫币你只要一挂马上有人要
2025-12-24 08:25:07,曹兀,caopai1995,鸿学院短线交流群,24832362572@chatroom,而且熊猫币有防伪
2025-12-24 08:25:14,Mask,wxid_eeq6xr1xojv522,鸿学院短线交流群,24832362572@chatroom,熊猫币太轻了
2025-12-24 08:25:20,Mask,wxid_eeq6xr1xojv522,鸿学院短线交流群,24832362572@chatroom,得买多少啊
2025-12-24 08:25:23,微凉梅子酒,yangxiao312,鸿学院短线交流群,24832362572@chatroom,熊猫币要买金的吧？银币太轻了吧？
2025-12-24 08:25:43,Mask,wxid_eeq6xr1xojv522,鸿学院短线交流群,24832362572@chatroom,"> 微凉梅子酒(yangxiao312) 12-24 08:25:23
> 熊猫币要买金的吧？银币太轻了吧？
对"
2025-12-24 08:25:50,微凉梅子酒,yangxiao312,鸿学院短线交流群,24832362572@chatroom,"![图片](http://localhost:5030/image/17b905eb3e98c1eb882fc9bb2edb37dd,msg\attach\1880bf501b52415609806d60fdc5a343\2025-12\Img\6aa4f424bb4cc268803f546e3740b46c)"
