日期,租赁利率,可供租赁份额(份)
2025-12-09,0.25%
2025-12-10,0.25%
2025-12-11,0.33%
2025-12-12,0.33%
2025-12-15,0.33%
2025-12-17,0.43%
2025-12-18,0.48%
2025-12-19,0.49%
2025-12-22,0.56%
2025-12-23,0.56%
2025-12-24,0.56%
2025-12-25,0.56%
2025-12-26,0.56%,
2025-12-29,0.56%,
2025-12-30,0.56%,
2025-12-31,0.56%,8900000
2026-01-01,0.56%,8200000
2026-01-02,0.56%,6800000
2026-01-05,0.57%,8100000
2026-01-06,0.56%,8200000
2026-01-07,0.56%,8200000
2026-01-08,0.56%,8200000
2026-01-09,0.56%,7400000
2026-01-12,0.55%,7000000
2026-01-13,0.55%,7900000
2026-01-14,0.55%,7600000
2026-01-15,0.55%,7700000
2026-01-16,0.55%,7800000
2026-01-19,0.55%,8000000
2026-01-20,0.55%,8000000
2026-01-21,0.55%,7300000
2026-01-22,0.55%,8400000
2026-01-23,0.55%,7000000
2026-01-26,0.55%,6600000
2026-01-27,0.55%,6400000
2026-01-28,0.55%,6900000
2026-01-29,0.56%,5900000
2026-01-30,0.55%,6700000


