日期,交割月,交割量(手)
2025-11-26,1137.35
2025-11-28,1130.83
2025-12-01,1128.49
2025-12-02,128.49
2025-12-03,1128.12
2025-12-04,1127.43
2025-12-05,1129.39
2025-12-08,1126.35
2025-12-09,2.81
2025-12-10,1123.14
2025-12-11,1123.32
2025-12-12,18.72
2025-12-15,672
2025-12-16,2647
2025-12-17,1899
2025-12-18,917
2025-12-19,728
2025-12-22,781
2025-12-23,417
2025-12-24,339
2025-12-26,166
2025-12-29,0
2025-12-30,3775
2025-12-31,136
2026-01-02,2026-01,338
2026-01-05,2026-01,611
2026-01-06,2026-01,234
2026-01-07,2026-01,357
2026-01-08,2026-01,1140
2026-01-09,2026-01,92
2026-01-12,2026-01,52
2026-01-13,2026-01,120
2026-01-14,2026-01,478
2026-01-15,2026-01,1183
2026-01-16,2026-01,212
2026-01-20,2026-01,108
2026-01-21,2026-01,1651
2026-01-22,2026-01,1090
2026-01-23,2026-01,90
2026-01-26,2026-01,159
2026-01-27,2026-01,25
2026-01-29,2026-01,11
2026-01-29,2026-02,20484
2026-01-30,2026-02,7036
2026-02-02,2026-02,639
2026-02-03,2026-02,1153
2026-02-04,2026-02,2692
2026-02-05,2026-02,498
2026-02-06,2026-02,1114
2026-02-09,2026-02,167
2026-02-10,2026-02,176
2026-02-11,2026-02,1477
2026-02-12,2026-02,414
2026-02-13,2026-02,242
2026-02-17,2026-02,96
2026-02-18,2026-02,381
2026-02-19,2026-02,9
2026-02-23,2026-02,131
2026-02-24,2026-02,18
2026-02-25,2026-02,3984

