日期,库存(t),库存(盎司),注册黄金(盎司),合格黄金(盎司)
2025-12-12,1118.71
2025-12-15,1119.46
2025-12-16,1119.46
2025-12-17,1121.91
2025-12-18,1119.91
2025-12-19,1123.46
2025-12-22,1124.68
2025-12-23,1124.68
2025-12-24,1125.67
2025-12-26,1126.67
2025-12-30,1127.67
2025-12-31,1132.26,
2026-01-02,1132.27,36403451.805,19329396.443,17074055.362
2026-01-05,1132.27,36403451.805,19329396.443,17074055.362
2026-01-06,1132.27,36403451.805,19345676.474,17057775.331
2026-01-07,1131.77,36387376.305,19281342.323,17106033.982
2026-01-08,1129.43,36311917.908,19180166.668,17131751.24
2026-01-09,1129.43,36311917.908,19250696.362,17061221.546
2026-01-12,1128.93,36295842.408,19180166.668,17013027.197
2026-01-13,1126.41,36214886.188,18838070.428,17376815.76
2026-01-14,1123.86,36132901.138,18823796.928,17309104.21
2026-01-15,1123.95,36135901.128,18864396.638,17271504.49
2026-01-16,1123.95,36135901.128,18864396.638,17271504.49
2026-01-20,1124.17,36142879.824,18864396.638,17278483.186
2026-01-21,1124.21,36144279.824,18846066.229,17298213.595
2026-01-22,1124.21,36144279.824,18845680.417,17298599.407   
2026-01-23,1117.91,35941502.324,18847080.417,17094421.907   
2026-01-26,1117.91,35941502.324,18833072.202,17108430.122 
2026-01-27,1115.91,35877200.324,18833072.202,17044128.122 
2026-01-28,1115.91,35877200.324,18785246.16,17091954.164
2026-01-29,1111.91,35748596.324,19038541.229,16710055.095
2026-01-30,1108.07,35625354.004,18995040.926,16630313.078
2026-02-02,1112.12,35755533.403,18962351.559,16793181.844
2026-02-03,1110.12,35691231.403,18896756.103,16794475.3
2026-02-04,1103.91,35491508.184,18792604.787,16698903.397
2026-02-05,1100.13,35370105.479,18370216.368,16999889.111
2026-02-06,1097.77,35294112.642,18258988.991,17035123.651
2026-02-09,1095.77,35229810.642,17799159.769,17430650.873
2026-02-10,1080.38,34735045.491,17637450.64,17097594.851
2026-02-11,1071.45,34448012.418,17588988.627,16859023.791
2026-02-12,1070.45,34415861.418,17576525.068,16839336.35
2026-02-13,1067.56,34322802.301,17278274.645,17044527.656
2026-02-17,1064.02,34208888.016,17233734.618,16975153.398
2026-02-18,1060.47,34094940.93,17200593.163,16894347.767
2026-02-19,1050.51,33920234.713,17176865.725,16743368.988
2026-02-20,1048.22,33774506.555,17143288.613,16631217.942
2026-02-23,1045.93,33701163.553,17143288.613,16557874.94
2026-02-24,1041.58,333627539.145,17099789.785,16527749.36
2026-02-25,1036.40,33487689.382,17098439.443,16389249.939
2026-02-26,1031.74,33321135.041,17101111.686,16220023.355
2026-03-02,1028.64,33071598.027,17021189.991,16050408.036
2026-03-03,1027.67,33040485.229,17001460.084,17001460.084
2026-03-04,1029.53,33100293.669,17003460.084,16096833.585
2026-03-05,1028.96,33081878.43,16899869.562,16182008.868
2026-03-06,1023.73,32913614.591,16838616.626,16074997.965
2026-03-09,1017.73,32720708.591,16838520.173,15882188.418
2026-03-10,1017.73,32720708.591,16725380.804,15995327.787
2026-03-11,1015.73,32656406.591,,
2026-03-12,1012.47,32551562.171,16695520.221,15856041.95
2026-03-13,1007.64,32396397.809,16672633.196,15723764.613
2026-03-16,1002.65,32236075.059,16760534.752,15475540.307
2026-03-17,999.68,32140343.509,16658998.575,15481344.934
2026-03-18,997.00,32054275.291,16642890.924,15411384.367
2026-03-19,997.00,32054275.291,16518712.066,15535563.225
2026-03-20,996.32,32032542.155,16515220.936,15517321.219
2026-03-23,995.82,32016434.504,16544928.807,15471505.697
2026-03-24,993.62,31945632.767,16762284.109,15183348.658
2026-03-25,992.40,31906472.849,16742185.696,15164287.153
2026-03-26,,31713528.151,16618234.875,15095293.276
2026-03-27,980.90,31536504.745,16618534.855,14917969.89
2026-03-30,980.81,31533900.538,16563243.467,14970657.071
2026-03-31,980.81,31533900.538,16524687.166,15009213.372
2026-04-01,969.79,31179589.246,16365247.054,14814342.192
2026-04-02,,31713528.151,16618234.875,15095293.276

