date,price
2025-11-23,4099.0
2025-11-24,4169.6
2025-11-25,4164.70
2025-11-26,4196.00
2025-11-27,4189.60
2025-11-28,4257.14
2025-12-01,4264.50
2025-12-02,4238.20
2025-12-03,4234.10
2025-12-04,4237.90
2025-12-05,4227.07
2025-12-08,4219.70
2025-12-09,4236.10
2025-12-10,4258.00
2025-12-11,4309.20
2025-12-12,4324.98
2025-12-15,4334.30
2025-12-16,4332.20
2025-12-17,4371.00
2025-12-18,4363.70
2025-12-19,4370.73
2025-12-22,4480.23
2025-12-23,4514.70
2025-12-24,4502.60
2025-12-25,4502.60
2025-12-26,4564.42
2025-12-29,4349.90
2025-12-30,4352.60
