日期,交割日期,合约,交割量(克),期转现(克)
2025-01,2025-01-15,au2501,120000,0
2025-02,2025-02-17,au2502,5892000,0
2025-02,2025-02-14,au2504,21000,21000
2025-03,2025-03-17,au2503,3000,0
2025-04,2025-04-15,au2504,5148000,0
2025-04,2025-04-18,au2506,30000,30000
2025-05,2025-05-15,au2505,288000,0
2025-06,2025-06-16,au2506,8796000,0
2025-06,2025-06-06,au2508,30000,30000
2025-06,2025-06-24,au2508,45000,45000
2025-06,2025-06-27,au2508,24000,24000
2025-07,2025-07-15,au2507,879000,0
2025-07,2025-07-01,au2508,114000,114000
2025-07,2025-07-02,au2508,3000,3000
2025-07,2025-07-09,au2508,129000,129000
2025-07,2025-07-14,au2508,72000,72000
2025-07,2025-07-31,au2508,306000,306000
2025-08,2025-08-15,au2508,9681000,0
2025-08,2025-08-04,au2510,144000,144000
2025-08,2025-08-05,au2510,120000,120000
2025-08,2025-08-06,au2510,36000,36000
2025-08,2025-08-20,au2510,201000,201000
2025-08,2025-08-21,au2510,60000,60000
2025-08,2025-08-22,au2510,60000,60000
2025-08,2025-08-25,au2510,60000,60000
2025-08,2025-08-29,au2510,120000,120000
2025-09,2025-09-15,au2509,4971000,0
2025-09,2025-09-01,au2510,120000,120000
2025-09,2025-09-02,au2510,60000,60000
2025-09,2025-09-03,au2510,60000,60000
2025-09,2025-09-19,au2510,48000,48000
2025-09,2025-09-25,au2510,192000,192000
2025-09,2025-09-03,au2512,120000,120000
2025-09,2025-09-04,au2512,150000,150000
2025-09,2025-09-10,au2512,36000,36000
2025-09,2025-09-16,au2512,225000,225000
2025-09,2025-09-18,au2512,204000,204000
2025-09,2025-09-23,au2512,195000,195000
2025-10,2025-10-15,au2510,16224000,0
2025-10,2025-10-14,au2512,30000,0
2025-11,2025-11-17,au2511,2913000,0
2025-11,2025-11-03,au2512,105000,105000
2025-11,2025-11-04,au2512,150000,150000
2025-11,2025-11-05,au2512,234000,234000
2025-12,2025-12-15,au2512,3669000,0
2026-01,2026-01-15,au2601,1536000,0
2026-01,2026-01-28,au2602,3000,3000
2026-02,2026-02-04,au2604,3000,3000
