日期,美元指数
2026-02-09,96.82
2026-02-10,96.80
2026-02-11,96.83
2026-02-12,96.93
2026-02-13,96.92
2026-02-16,96.92
2026-02-17,97.15
2026-02-18,97.70
2026-02-19,97.93
2026-02-20,97.80
2026-02-23,97.71
2026-02-24,97.84
2026-02-25,97.70
2026-02-26,97.79
2026-02-27,97.61
2026-03-02,98.38
2026-03-03,99.05
2026-03-04,98.77
2026-03-05,99.32
2026-03-06,98.99
2026-03-09,99.18
2026-03-10,98.83
2026-03-11,99.23
2026-03-12,99.74
2026-03-13,100.36
2026-03-16,99.71
2026-03-17,99.57
2026-03-18,100.09
2026-03-19,99.23
2026-03-20,99.65
2026-03-23,98.95
2026-03-24,99.43
2026-03-25,99.60
2026-03-26,99.90
2026-03-27,100.15
2026-03-30,100.51
2026-03-31,99.96
2026-04-01,99.65
2026-04-02,100.03
2026-04-03,100.03
2026-04-06,99.98
2026-04-07,99.86
2026-04-08,99.13
2026-04-09,98.82
2026-04-10,98.65
2026-04-13,98.37
2026-04-14,98.12
2026-04-15,98.06
2026-04-16,98.21
2026-04-17,98.10
2026-04-20,98.10
2026-04-21,98.39
2026-04-22,98.59
2026-04-23,98.77
2026-04-24,98.53
2026-04-27,98.50
2026-04-28,98.64
2026-04-29,98.96
2026-04-30,98.06
2026-05-01,98.23
2026-05-04,98.37
2026-05-05,98.44
2026-05-06,98.02
2026-05-07,98.07
2026-05-08,97.97
2026-05-11,97.96
2026-05-12,98.30
2026-05-13,98.52
2026-05-14,98.82
2026-05-15,99.29
2026-05-18,99.19
2026-05-19,99.33
2026-05-20,99.09
2026-05-21,99.26
2026-05-22,99.24
2026-05-25,99.24
2026-05-26,99.17
2026-05-27,99.21
2026-05-28,99.02
2026-05-29,98.91
2026-06-01,99.20
2026-06-02,99.22
2026-06-03,99.53
2026-06-04,99.41
2026-06-05,100.06
