日期,库存(t),增持/减持(吨),总价值(美元)
2025-12-09,1047.97,
2025-12-10,1046.82,
2025-12-11,1050.83,
2025-12-12,1053.12,
2025-12-15,1051.69,
2025-12-17,1052.54,
2025-12-18,,,0.48%
2025-12-19,,,0.49%
2025-12-22,1064.56,
2025-12-23,,
2025-12-24,1068.27,
2025-12-25,,
2025-12-26,1071.13,2.86,154268392292.78
2025-12-29,1071.99,0.86,149432548072.06
2025-12-31,1070.56,-1.43,148228262258.13
2026-01-02,1065.13,-5.43,149013404123.31
2026-01-06,1067.13,2,154001047611.31
2026-01-09,1064.56,-2.57,153744246563.42
2026-01-12,1070.8,6.24,158791009720.09
2026-01-13,1074.23,3.43,159647035012.14
2026-01-15,1074.8,0.57,159306971619
2026-01-16,1085.67,10.87,160923063278.22
2026-01-20,1081.66,-4.01,165078157092.61
2026-01-21,1077.66,-4,168577932354.36
2026-01-22,1079.66,2,167693433310.21
2026-01-23,1086.53,6.87,172747009909.85
2026-01-27,1087.38,0.85,177001079573.61
2026-01-28,1089.96,2.58,185923020025.66
2026-01-29,1086.53,-3.43,188760685515.92
2026-01-30,1087.1,0.57,174068528290.71
2026-02-03,1083.38,-3.72,171344456973.62
2026-02-04,1081.95,-1.43,173347897595.28
2026-02-05,1077.95,-4,167927061070.22
2026-02-06,1076.23,-1.72,171144002125.75
2026-02-09,1079.66,3.43,174862003100.13
2026-02-10,1079.32,-0.34,174577184989.29
2026-02-11,1081.32,2,176513832895.48
2026-02-12,1076.18,-5.14,174471198083.26
2026-02-13,1077.04,0.86,172939303206.02
2026-02-17,1075.61,-1.43,168085578743.31
2026-02-19,1078.75,3.14,173545048543.31
2026-02-23,1086.47,7.72,181297306681.74
2026-02-24,1094.19,7.72,180080497196.67
2026-02-25,1097.62,3.43,183159291597.21
2026-02-26,1097.9,0.28,182350776687.67
2026-02-27,1101.33,3.43,184864317602.52
2026-03-02,1101.331,0.001,188101659748.2
2026-03-03,1099.045,-2.285,177806319096.24
2026-03-04,1081.038,-18.007,178883754110.81
2026-03-05,1075.894,-5.144,176490918402.13
2026-03-06,1073.321,-2.573,176877810779.5
2026-03-09,1070.707,-2.614,175076371887.13
2026-03-10,1073.565,2.858,179799344395.68
2026-03-11,1077.281,3.716,179474132697.99
2026-03-12,1075.852,-1.429,177425054530.25
2026-03-13,1071.565,-4.287,173770455578.69
2026-03-16,1070.708,-0.857,171913103006.53
2026-03-17,1069.564,-1.144,17248244901.96
2026-03-18,1066.993,-2.571,167028107992.37
2026-03-19,1062.135,-4.858,157059267719.45
2026-03-20,1056.991,-5.144,155012218868.94
2026-03-23,1052.705,-4.286,151119092362.02
2026-03-24,1052.991,0.286,149374344165.38
2026-03-25,1052.419,-0.572,154400842611.17
2026-03-26,1052.705,0.286,150782424112.64






