"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","美元",
"202505","7108","金（包括镀铂的金），未锻造、半制成或粉末状","110","中国香港","1,042,413,465",
"202505","7108","金（包括镀铂的金），未锻造、半制成或粉末状","111","印度","23,376",
"202505","7108","金（包括镀铂的金），未锻造、半制成或粉末状","116","日本","498,873",
"202505","7108","金（包括镀铂的金），未锻造、半制成或粉末状","122","马来西亚","259,342",
"202505","7108","金（包括镀铂的金），未锻造、半制成或粉末状","129","菲律宾","732,154",
"202505","7108","金（包括镀铂的金），未锻造、半制成或粉末状","132","新加坡","533,659",
"202505","7108","金（包括镀铂的金），未锻造、半制成或粉末状","133","韩国","3,287,977",
"202505","7108","金（包括镀铂的金），未锻造、半制成或粉末状","137","土耳其","19,466",
"202505","7108","金（包括镀铂的金），未锻造、半制成或粉末状","141","越南","1,642,019",
"202505","7108","金（包括镀铂的金），未锻造、半制成或粉末状","143","中国台湾","791,989",
"202505","7108","金（包括镀铂的金），未锻造、半制成或粉末状","303","英国","504,868",
"202505","7108","金（包括镀铂的金），未锻造、半制成或粉末状","304","德国","18,747",
"202505","7108","金（包括镀铂的金），未锻造、半制成或粉末状","305","法国","35,850",
"202505","7108","金（包括镀铂的金），未锻造、半制成或粉末状","306","爱尔兰","37,745",
"202505","7108","金（包括镀铂的金），未锻造、半制成或粉末状","307","意大利","944,575",
"202505","7108","金（包括镀铂的金），未锻造、半制成或粉末状","331","瑞士","122,685,780",
"202505","7108","金（包括镀铂的金），未锻造、半制成或粉末状","344","俄罗斯","91,927",
"202505","7108","金（包括镀铂的金），未锻造、半制成或粉末状","601","澳大利亚","118,358",
