"商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","美元",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","110","中国香港","1,663,968,130",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","111","印度","21,200",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","116","日本","709,744",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","122","马来西亚","306,335",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","129","菲律宾","1,528,109",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","132","新加坡","23,869,834",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","133","韩国","5,649,835",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","136","泰国","204,016",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","138","阿联酋","54,388,634",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","141","越南","4,668,560",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","143","中国台湾","1,084,724",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","303","英国","293,425",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","304","德国","33,616",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","305","法国","39,469",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","307","意大利","673,090",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","315","奥地利","85,202",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","326","挪威","21,326",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","601","澳大利亚","64,764",
