"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","美元",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","110","中国香港","1,127,999,962",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","111","印度","628,000",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","112","印度尼西亚","960,545",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","116","日本","25,329,596",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","119","老挝","6,577,914",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","121","中国澳门","131,533",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","122","马来西亚","7,559,119",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","131","沙特阿拉伯","5,955,006",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","132","新加坡","154,862,997",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","133","韩国","7,778,972",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","137","土耳其","246,000",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","138","阿联酋","28,830,875",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","142","中国","145,014,481",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","143","中国台湾","58,705,081",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","146","吉尔吉斯斯坦","859,856,488",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","233","莫桑比克","73,503,145",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","240","塞内加尔","200,000",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","244","南非","578,606,505",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","301","比利时","574,000",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","303","英国","1,904,193",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","304","德国","188,342,938",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","305","法国","2,987,065",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","307","意大利","3,730,148",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","315","奥地利","16,400",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","331","瑞士","1,277,860,417",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","344","俄罗斯","24,888,809",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","424","圭亚那","31,649,581",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","501","加拿大","2,303,230,786",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","502","美国","6,630,631",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","601","澳大利亚","2,017,266",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","701","国家（地区）不明
","12,370,082",
