"商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","美元",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","110","中国香港","3,955,107,414",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","111","印度","3,262,180",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","112","印度尼西亚","1,260,428",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","116","日本","446,138,971",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","119","老挝","12,120,577",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","121","中国澳门","130,282",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","122","马来西亚","10,992,122",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","131","沙特阿拉伯","1,802,400",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","132","新加坡","363,209,612",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","133","韩国","11,607,283",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","136","泰国","321,837",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","137","土耳其","1,425,829",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","138","阿联酋","322,098,365",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","142","中国","305,113,086",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","143","中国台湾","73,529,512",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","145","哈萨克斯坦","755,401,225",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","244","南非","257,305,832",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","250","乌干达","690,000",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","303","英国","1,920,728",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","304","德国","372,017,744",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","305","法国","476,000",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","307","意大利","1,949,988",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","331","瑞士","4,267,076,612",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","344","俄罗斯","141,813,096",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","424","圭亚那","36,521,262",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","501","加拿大","684,370,384",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","502","美国","115,240",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","601","澳大利亚","2,186,500,179",
