EU / NON EU,Continent,Country,Net Mass (Kg),Flow Type,Year,Month,Include in HS2 aggregation
EU,European Union,Austria,0,EU - Exports,2026,March,INCLUDE
EU,European Union,Austria,1248,EU - Imports,2026,March,INCLUDE
EU,European Union,Belgium,0,EU - Exports,2026,March,INCLUDE
EU,European Union,Cyprus,3,EU - Exports,2026,March,INCLUDE
EU,European Union,Cyprus,4,EU - Imports,2026,March,INCLUDE
EU,European Union,Czechia,0,EU - Exports,2026,March,INCLUDE
EU,European Union,Czechia,0,EU - Imports,2026,March,INCLUDE
EU,European Union,Denmark,0,EU - Exports,2026,March,INCLUDE
EU,European Union,Estonia,34,EU - Imports,2026,March,INCLUDE
EU,European Union,France,84,EU - Exports,2026,March,INCLUDE
EU,European Union,France,154,EU - Imports,2026,March,INCLUDE
EU,European Union,Germany,194,EU - Exports,2026,March,INCLUDE
EU,European Union,Germany,6944,EU - Imports,2026,March,INCLUDE
EU,European Union,Ireland,18,EU - Exports,2026,March,INCLUDE
EU,European Union,Ireland,0,EU - Imports,2026,March,INCLUDE
EU,European Union,Italy,148,EU - Exports,2026,March,INCLUDE
EU,European Union,Italy,3,EU - Imports,2026,March,INCLUDE
EU,European Union,Lithuania,0,EU - Exports,2026,March,INCLUDE
EU,European Union,Malta,2,EU - Exports,2026,March,INCLUDE
EU,European Union,Netherlands,1,EU - Exports,2026,March,INCLUDE
EU,European Union,Netherlands,0,EU - Imports,2026,March,INCLUDE
EU,European Union,Poland,4,EU - Imports,2026,March,INCLUDE
EU,European Union,Spain,8,EU - Exports,2026,March,INCLUDE
EU,European Union,Spain,2715,EU - Imports,2026,March,INCLUDE
EU,European Union,Sweden,0,EU - Exports,2026,March,INCLUDE
EU,European Union,Sweden,73,EU - Imports,2026,March,INCLUDE
NON-EU,Asia and Oceania,Australia,13,Non EU - Exports,2026,March,INCLUDE
NON-EU,Asia and Oceania,Australia,0,Non EU - Imports,2026,March,INCLUDE
NON-EU,Asia and Oceania,China,9975,Non EU - Exports,2026,March,INCLUDE
NON-EU,Asia and Oceania,China,5,Non EU - Imports,2026,March,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,27,Non EU - Exports,2026,March,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,0,Non EU - Imports,2026,March,INCLUDE
NON-EU,Asia and Oceania,India,4,Non EU - Exports,2026,March,INCLUDE
NON-EU,Asia and Oceania,Japan,30,Non EU - Exports,2026,March,INCLUDE
NON-EU,Asia and Oceania,Japan,1471,Non EU - Imports,2026,March,INCLUDE
NON-EU,Asia and Oceania,Malaysia,0,Non EU - Exports,2026,March,INCLUDE
NON-EU,Asia and Oceania,Malaysia,4,Non EU - Imports,2026,March,INCLUDE
NON-EU,Asia and Oceania,Singapore,1846,Non EU - Exports,2026,March,INCLUDE
NON-EU,Asia and Oceania,Singapore,21,Non EU - Imports,2026,March,INCLUDE
NON-EU,Asia and Oceania,South Korea,0,Non EU - Exports,2026,March,INCLUDE
NON-EU,Asia and Oceania,Taiwan,0,Non EU - Exports,2026,March,INCLUDE
NON-EU,Asia and Oceania,Thailand,4,Non EU - Exports,2026,March,INCLUDE
NON-EU,Latin America and Caribbean,Brazil,882,Non EU - Imports,2026,March,INCLUDE
NON-EU,Latin America and Caribbean,Peru,6,Non EU - Imports,2026,March,INCLUDE
NON-EU,Middle East and N Africa,Qatar,1,Non EU - Exports,2026,March,INCLUDE
NON-EU,Middle East and N Africa,UAE,272,Non EU - Exports,2026,March,INCLUDE
NON-EU,Middle East and N Africa,UAE,1021,Non EU - Imports,2026,March,INCLUDE
NON-EU,North America,Canada,5,Non EU - Exports,2026,March,INCLUDE
NON-EU,North America,Canada,32367,Non EU - Imports,2026,March,INCLUDE
NON-EU,North America,Mexico,605,Non EU - Imports,2026,March,INCLUDE
NON-EU,North America,United States,58,Non EU - Exports,2026,March,INCLUDE
NON-EU,North America,United States,27763,Non EU - Imports,2026,March,INCLUDE
NON-EU,Sub-Saharan Africa,Mauritius,0,Non EU - Exports,2026,March,INCLUDE
NON-EU,Sub-Saharan Africa,South Africa,0,Non EU - Exports,2026,March,INCLUDE
NON-EU,Sub-Saharan Africa,South Africa,12094,Non EU - Imports,2026,March,INCLUDE
NON-EU,Western Europe exc EU,Gibraltar,0,Non EU - Exports,2026,March,INCLUDE
NON-EU,Western Europe exc EU,Iceland,0,Non EU - Exports,2026,March,INCLUDE
NON-EU,Western Europe exc EU,Norway,0,Non EU - Exports,2026,March,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,961,Non EU - Exports,2026,March,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,61278,Non EU - Imports,2026,March,INCLUDE
