"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","美元",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","110","中国香港","2,520,542,571",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","111","印度","30,791",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","113","伊朗","93,880,044",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","116","日本","622,257",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","122","马来西亚","177,808",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","129","菲律宾","1,127,718",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","132","新加坡","331,969",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","133","韩国","2,959,376",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","136","泰国","37,869",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","141","越南","1,495,191",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","143","中国台湾","626,249",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","244","南非","257,416",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","303","英国","543,674",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","304","德国","56,421",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","305","法国","17,442",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","307","意大利","949,234",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","502","美国","62,805",
"202503","7108","金（包括镀铂的金），未锻造、半制成或粉末状","601","澳大利亚","46,745",
