"商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","美元",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","110","中国香港","1,541,613,173",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","111","印度","19,864",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","116","日本","623,987",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","122","马来西亚","386,884",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","129","菲律宾","1,140,073",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","132","新加坡","559,983",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","133","韩国","2,514,373",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","136","泰国","97,645",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","137","土耳其","26,305",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","141","越南","2,706,887",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","143","中国台湾","448,437",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","303","英国","446,923",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","304","德国","6,407",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","305","法国","37,838",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","306","爱尔兰","54,000",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","307","意大利","246,988",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","502","美国","68,823",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","601","澳大利亚","95,335",
