"商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","美元",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","110","中国香港","3,632,986,285",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","111","印度","222,730",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","112","印度尼西亚","424,896",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","116","日本","168,161,837",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","119","老挝","8,608,811",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","121","中国澳门","101,048",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","122","马来西亚","7,009,830",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","131","沙特阿拉伯","1,599,992",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","132","新加坡","9,755,001",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","133","韩国","50,230,370",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","138","阿联酋","53,387,283",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","142","中国","386,985,656",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","143","中国台湾","58,297,056",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","145","哈萨克斯坦","462,443,719",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","146","吉尔吉斯斯坦","246,789,389",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","240","塞内加尔","270,000",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","244","南非","37,042,105",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","250","乌干达","523,766",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","303","英国","1,207,354",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","304","德国","209,570,234",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","305","法国","1,112,097",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","307","意大利","963,319",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","326","挪威","55,000",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","331","瑞士","3,658,316,763",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","424","圭亚那","16,773,488",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","501","加拿大","1,417,041,636",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","502","美国","66,130",
"7108","金（包括镀铂的金），未锻造、半制成或粉末状","601","澳大利亚","493,818,995",
